Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.371,0.324,0.259,*,192.168.243.254 
2,1.270,1.190,2.438,*,158.174.178.33 
3,1.370,1.070,1.083,*,46.59.112.196 
4,1.330,1.106,1.135,*,176.10.178.116 
5,1.501,1.251,1.233,*,176.10.178.114 
6,2.990,1.871,1.347,*,176.10.179.248 
7,1.588,1.336,1.340,*,176.10.179.246 
8,1.787,1.377,1.362,*,176.10.179.244 
9,17.063,2.546,5.968,*,176.10.180.78 
10,1.483,1.319,1.296,*,176.10.178.126 
11,1.481,1.311,1.336,*,176.10.178.42 
12,*,*,*,*,*,*
13,*,*,*,*,*,*
14,*,*,*,*,*,*
15,*,*,*,*,*,*
16,*,*,*,*,*,*
17,1.397,1.316,1.215,*,54.230.99.145 
