Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.180,0.183,0.386,*,111.67.5.252 
2,1.060,1.278,1.278,*,216.14.207.31 
3,1.635,1.644,1.842,*,49.255.129.233 
4,13.090,13.103,13.103,*,114.31.196.50 
5,13.337,13.348,13.604,*,103.1.77.48 
6,13.592,13.145,13.126,*,103.1.76.142
7,13.262,12.522,12.576,*,103.1.77.1 
8,12.959,12.595,12.851,*,114.31.192.39 
9,12.651,13.656,13.653,*,103.4.96.198 
10,12.852,12.427,12.220,*,157.240.46.97 
11,12.425,12.410,12.894,*,173.252.67.69 
12,12.620,12.358,12.595,*,157.240.8.35
