Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.458,0.143,0.254,*,192.168.243.254 
2,1.384,1.216,1.022,*,158.174.178.33 
3,1.214,1.094,1.100,*,46.59.112.196 
4,1.239,1.205,1.192,*,176.10.178.116 
5,7.116,4.580,1.585,*,176.10.178.114 
6,1.454,1.404,1.304,*,176.10.179.248 
7,1.581,1.638,1.475,*,176.10.179.246 
8,1.402,1.334,1.325,*,176.10.179.244 
9,1.416,1.306,1.462,*,176.10.180.78 
10,22.021,2.482,1.265,*,176.10.178.126 
11,1.616,1.250,1.349,*,176.10.178.42 
12,1.175,1.089,1.024,*,31.13.72.36 
