Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.392,0.256,0.205,*,192.168.243.254
2,1.335,1.306,1.319,*,158.174.178.33
3,2.525,0.999,1.130,*,46.59.112.196 
4,8.577,12.873,1.362,*,176.10.178.116
5,1.411,1.293,1.211,*,176.10.178.114
6,1.926,5.279,1.773,*,176.10.179.248
7,1.508,1.952,1.401,*,176.10.179.246
8,1.433,1.390,1.426,*,176.10.179.244 
9,1.046,0.928,0.939,*,176.10.179.242 
10,0.800,0.768,0.714,*,46.59.112.252
11,1.345,1.244,2.486,*,46.59.112.246 
12,1.352,1.236,1.296,*,46.59.117.31 
13,2.679,2.544,2.296,*,108.170.254.49 
14,1.508,1.426,1.436,*,72.14.236.5 
15,1.582,1.538,1.642,*,172.217.21.132 
