Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.283,0.281,0.191,*,192.168.243.254 
2,1.258,1.005,1.102,*,158.174.178.33 
3,1.353,1.143,1.630,*,46.59.112.196 
4,1.285,1.105,1.271,*,176.10.178.116 
5,10.314,6.993,1.880,*,176.10.178.114 
6,1.518,1.289,1.388,*,176.10.179.248 
7,1.524,1.388,1.356,*,176.10.179.246 
8,1.433,1.767,1.288,*,176.10.179.244 
9,1.507,1.388,1.359,*,176.10.180.78 
10,1.557,1.355,1.562,*,176.10.178.126 
11,1.533,1.357,1.340,*,176.10.178.42 
12,*,*,*,*,*
13,*,*,*,*,*
14,*,*,*,*,*
15,*,*,*,*,*
16,*,*,*,*,*
17,*,*,*,*,*
18,*,*,*,*,*
19,*,*,*,*,*
20,*,*,*,*,*
21,*,*,*,*,*
22,*,*,*,*,*
23,*,*,*,*,*
24,*,*,*,*,*
25,*,*,*,*,*
26,*,*,*,*,*
27,*,*,*,*,*
28,*,*,*,*,*
29,*,*,*,*,*
30,*,*,*,*,*
31,*,*,*,*,*
32,*,*,*,*,*
33,*,*,*,*,*
34,*,*,*,*,*
35,*,*,*,*,*
36,*,*,*,*,*
37,*,*,*,*,*
38,*,*,*,*,*
39,*,*,*,*,*
40,*,*,*,*,*
41,*,*,*,*,*
42,*,*,*,*,*
43,*,*,*,*,*
44,*,*,*,*,*
45,*,*,*,*,*
46,*,*,*,*,*
47,*,*,*,*,*
48,*,*,*,*,*
49,*,*,*,*,*
50,*,*,*,*,*
51,*,*,*,*,*
52,*,*,*,*,*
53,*,*,*,*,*
54,*,*,*,*,*
55,*,*,*,*,*
56,*,*,*,*,*
57,*,*,*,*,*
58,*,*,*,*,*
59,*,*,*,*,*
60,*,*,*,*,*
61,*,*,*,*,*
62,*,*,*,*,*
63,*,*,*,*,*
64,*,*,*,*,*
