Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.266,0.238,0.231,*,192.168.243.254
2,1.330,1.112,1.050,*,158.174.178.33 
3,2.555,1.007,1.117,*,46.59.112.196 
4,36.820,15.458,1.426,*,176.10.178.116 
5,1.353,1.155,2.149,*,176.10.178.114 
6,1.529,1.860,1.307,*,176.10.179.248 
7,1.611,1.307,1.359,*,176.10.179.246 
8,11.306,1.643,1.308,*,176.10.179.244 
9,0.956,0.931,0.988,*,176.10.179.242 
10,0.806,0.853,0.677,*,46.59.112.252 
11,1.501,1.458,1.306,*,46.59.112.246 
12,1.241,1.211,1.230,*,46.59.117.31 
13,2.532,2.389,2.150,*,108.170.254.49 
14,1.488,1.431,1.487,*,72.14.238.13 
15,1.681,1.734,1.590,*,172.217.21.142
